System,Mission Number,Mission Text
VoiceOnly_#1,4,"Navigate to page 1, paragraph 3, line 13-14."
VoiceOnly_#1,5,"Copy from \""for\"" to \""Reed\"". (page 1, paragraph 3, line 13-14)"
VoiceOnly_#1,6,"Navigate to page 1, paragraph 4, line 21."
VoiceOnly_#1,7,"Past after \""lady\"". (page 1, paragraph 4, line 21)"
VoiceOnly_#1,8,"Navigate to page 2, paragraph 5, line 23."
VoiceOnly_#1,9,"Replace \""always\"" to \""sometimes\"". (page 2, paragraph 5, line 23)"
VoiceOnly_#1,10,"Page 2, paragraph 6, line 30."
VoiceOnly_#1,11,"Fix \""fll\"" to \""fell\"". (page 2, paragraph 6, line 30)"
VoiceOnly_#1,12,"Navigate to page 2, paragraph 7, line 36-37."
VoiceOnly_#1,13,"Delete from \""That\"" to \""pity\"". (page 2, paragraph 7, line 36-37)"
VoiceGaze_#1,0,"Navigate to page 1, paragraph 1, line 2"
VoiceGaze_#1,1,"Fix \""indstry\"" to \""industry\"". (page 1, paragraph 1, line 2)"
VoiceGaze_#1,2,"Navigate to page 1, paragraph 2, line 5"
VoiceGaze_#1,3,"Fix \""pening\"" to \""pending\"". (page 1, paragraph 2, line 5)"
VoiceGaze_#1,4,"Navigate to page 1, paragraph 3, line 13"
VoiceGaze_#1,5,"Copy from \""in\"" to \""London\"". (page 1, paragraph 3, line 13)"
VoiceGaze_#1,6,"Navigate to page 1, paragraph 4, line 18"
VoiceGaze_#1,7,"Paste after \""decision\"". (page 1, paragraph 3, line 13)"
VoiceGaze_#1,8,"Navigate to page 2, paragraph 5, line 24"
VoiceGaze_#1,9,"Add \""sailor\"" after \""average\"". (page 2, paragraph 5, line 24)"
VoiceGaze_#1,10,"Navigate to page 2, paragraph 6, line 32"
VoiceGaze_#1,11,"Delete from \""personal\"" to \""service\"". (page 2, paragraph 6, line 32)"
VoiceGaze_#1,12,"Navigate to page 2, paragraph 8, line 39"
VoiceGaze_#1,13,"Replace \""sad \"" to \""happy\"". (page 2, paragraph 8, line 39)"
VoiceMouse_#1,0,"Navigate to page 1, paragraph 1, line 2"
VoiceMouse_#1,1,"Fix \""alwys\"" to \""always\"". (page 1, paragraph 1, line 2)"
VoiceMouse_#1,2,"Navigate to page 1, paragraph 2, line 5"
VoiceMouse_#1,3,"Replace \""back\"" to \""front\"". (page 1, paragraph 2, line 5)"
VoiceMouse_#1,4,"Navigate to page 1, paragraph 3, line 13"
VoiceMouse_#1,5,"Add \""time\"" after \""the\"". (page 1, paragraph 3, line 13)"
VoiceMouse_#1,6,"Navigate to page 2, paragraph 4, line 19"
VoiceMouse_#1,7,"Fix \""est\"" to \""east\"". (page 2, paragraph 4, line 19)"
VoiceMouse_#1,8,"Navigate to page 2, paragraph 5, line 22"
VoiceMouse_#1,9,"Copy from \""it\"" to \""not\"". (page 2, paragraph 5, line 22)"
VoiceMouse_#1,10,"Navigate to page 2, paragraph 6, line 29"
VoiceMouse_#1,11,"Paste after \""and\"". (page 2, paragraph 6, line 29)"
VoiceMouse_#1,12,"Navigate to page 2, paragraph 7, line 33"
VoiceMouse_#1,13,"Delete from \""Outside\"" to \""from\"". (page 2, paragraph 7, line 33)"
MouseAndKeyboard_#1,0,"Navigate to page 1, paragraph 1, line 4"
MouseAndKeyboard_#1,1,"Fix \""intersting \"" to \""interesting\"". (page 1, paragraph 1, line 4)"
MouseAndKeyboard_#1,2,"Navigate to page 1, paragraph 2, line 9"
MouseAndKeyboard_#1,3,"Delete from \""but\"" to \""judge\"". (page 1, paragraph 2, line 9)"
MouseAndKeyboard_#1,4,"Navigate to page 1, paragraph 3, line 11"
MouseAndKeyboard_#1,5,"Copy from \""don't\"" to \""you\"". (page 1, paragraph 3, line 11)"
MouseAndKeyboard_#1,6,"Navigate to page 1, paragraph 4, line 18"
MouseAndKeyboard_#1,7,"Paste after \""course\"". (page 1, paragraph 4, line 18)"
MouseAndKeyboard_#1,8,"Navigate to page 2, paragraph 5, line 20"
MouseAndKeyboard_#1,9,"Add \""object\"" after \""same\"". (page 2, paragraph 5, line 20)"
MouseAndKeyboard_#1,10,"Navigate to page 2, paragraph 6, line 26"
MouseAndKeyboard_#1,11,"Replace \""first\"" to \""second\"". (page 2, paragraph 6, line 26)"
MouseAndKeyboard_#1,12,"Navigate to page 2, paragraph 7, line 32"
MouseAndKeyboard_#1,13,"Fix \""ould \"" to \""could\"". (page 2, paragraph 7, line 32)"
VoiceOnly_#2,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#2,1,"Fix \""mopd\"" to \""mood\""."
VoiceOnly_#2,2,"Navigate to page 1, paragraph 2, line 3."
VoiceOnly_#2,3,"Add \""novel\"" after \""short\""."
VoiceOnly_#2,4,"Navigate to page 1, paragraph 3, line 3-5."
VoiceOnly_#2,5,"Copy from \""According\"" to \""does\""."
VoiceOnly_#2,6,"Navigate to page 1, paragraph 5, line 1."
VoiceOnly_#2,7,"Past after \""deep\""."
VoiceOnly_#2,8,"Navigate to page 1, paragraph 8, line 1."
VoiceOnly_#2,9,"Fix \""corunt\"" to \""count\""."
VoiceOnly_#2,10,"Navigate to page 2, paragraph 14, line 1-2."
VoiceOnly_#2,11,"Delete from \""master\"" to \""story\""."
VoiceOnly_#2,12,"Navigate to page 2, paragraph 14, line 1-2."
VoiceOnly_#2,13,"Delete from \""master\"" to \""story\""."
VoiceGaze_#2,0,"Navigate to page 1, paragraph 1, line 7"
VoiceGaze_#2,1,"Add \""beyond\"" after \""points\"". (page 1, paragraph 1, line 7)"
VoiceGaze_#2,2,"Navigate to page 1, paragraph 2, line 10"
VoiceGaze_#2,3,"Delete from \""life\"" to \""eternity\"". (page 1, paragraph 2, line 10)"
VoiceGaze_#2,4,"Navigate to page 1, paragraph 3, line 14"
VoiceGaze_#2,5,"Fix \""representsk\"" to \""represents\"". (page 1, paragraph 3, line 14)"
VoiceGaze_#2,6,"Navigate to page 2, paragraph 4, line 20"
VoiceGaze_#2,7,"Fix \""strage\"" to \""stage\"". (page 2, paragraph 4, line 20)"
VoiceGaze_#2,8,"Navigate to page 2, paragraph 5, line 28"
VoiceGaze_#2,9,"Replace \""low\"" to \""high\"". (page 2, paragraph 5, line 28)"
VoiceGaze_#2,10,"Navigate to page 2, paragraph 6, line 32"
VoiceGaze_#2,11,"Copy from \""after\"" to \""death\"". (page 2, paragraph 6, line 32)"
VoiceGaze_#2,12,"Navigate to page 2, paragraph 6, line 36"
VoiceGaze_#2,13,"Paste before \""his\"". (page 2, paragraph 6, line 36)"
VoiceMouse_#2,0,"Navigate to page 1, paragraph 1, line 2"
VoiceMouse_#2,1,"Delete from \""and\"" to \""young\"". (page 1, paragraph 1, line 2)"
VoiceMouse_#2,2,"Navigate to page 1, paragraph 2, line 5"
VoiceMouse_#2,3,"Replace \""woman\"" to \""zebra\"". (page 1, paragraph 2, line 5)"
VoiceMouse_#2,4,"Navigate to page 1, paragraph 3, line 8"
VoiceMouse_#2,5,"Fix \""trown\"" to \""town\"". (page 1, paragraph 3, line 8)"
VoiceMouse_#2,6,"Navigate to page 2, paragraph 4, line 12"
VoiceMouse_#2,7,"Add \""small\"" after \""my\"". (page 2, paragraph 4, line 12)"
VoiceMouse_#2,8,"Navigate to page 2, paragraph 5, line 16"
VoiceMouse_#2,9,"Copy from \""like\"" to \""wife\"". (page 2, paragraph 5, line 16)"
VoiceMouse_#2,10,"Navigate to page 2, paragraph 7, line 29"
VoiceMouse_#2,11,"Paste before \""Little\"". (page 2, paragraph 7, line 29)"
VoiceMouse_#2,12,"Navigate to page 2, paragraph 8, line 33"
VoiceMouse_#2,13,"Fix \""understtand\"" to \""understand\"". (page 2, paragraph 8, line 33)"
MouseAndKeyboard_#2,0,"Navigate to page 1, paragraph 1, line 4"
MouseAndKeyboard_#2,1,"Copy from \""wooden\"" to \""boxes\"". (page 1, paragraph 1, line 4)"
MouseAndKeyboard_#2,2,"Navigate to page 1, paragraph 2, line 9"
MouseAndKeyboard_#2,3,"Paste after \""paint\"". (page 1, paragraph 2, line 9)"
MouseAndKeyboard_#2,4,"Navigate to page 1, paragraph 3, line 13"
MouseAndKeyboard_#2,5,"Fix \""gluted\"" to \""glued\"". (page 1, paragraph 3, line 13)"
MouseAndKeyboard_#2,6,"Navigate to page 1, paragraph 4, line 17"
MouseAndKeyboard_#2,7,"Replace \""yellow\"" to \""blue\"". (page 1, paragraph 4, line 17)"
MouseAndKeyboard_#2,8,"Navigate to page 2, paragraph 5, line 20"
MouseAndKeyboard_#2,9,"Fix \""Opn\"" to \""Open\"". (page 2, paragraph 5, line 20)"
MouseAndKeyboard_#2,10,"Navigate to page 2, paragraph 6, line 23"
MouseAndKeyboard_#2,11,"Add \""moment\"" after \""same\"". (page 2, paragraph 6, line 23)"
MouseAndKeyboard_#2,12,"Navigate to page 2, paragraph 8, line 32-33"
MouseAndKeyboard_#2,13,"Delete from \""How\"" to \""marvelous\"". (page 2, paragraph 8, line 32-33)"
VoiceOnly_#3,0,"Navigate to page 1, paragraph 1, line 2."
VoiceOnly_#3,1,"Replace \""once\"" to \""twice\"". (page 1, paragraph 1, line 2)"
VoiceOnly_#3,2,"Navigate to page 1, paragraph 2, line 12."
VoiceOnly_#3,3,"Add \""street\"" after \""Oxford\"". ( page 1, paragraph 2, line 12)"
VoiceOnly_#3,4,"Navigate to page 1, paragraph 3, line 22."
VoiceOnly_#3,5,"Fix \""cann't\"" to \""can't\"". (page 1, paragraph 3, line 22)"
VoiceOnly_#3,6,"Navigate to page 1, paragraph 4, line 30."
VoiceOnly_#3,7,"Copy from \""we\"" to \""shop\"". (page 1, paragraph 4, line 30)"
VoiceOnly_#3,8,"Navigate to page 2, paragraph 5, line 35."
VoiceOnly_#3,9,"Past after \""so\"". (page 2, paragraph 5, line 35)"
VoiceOnly_#3,10,"Navigate to page 2, paragraph 6, line 40."
VoiceOnly_#3,11,"Fix \""haat \"" to \""heat\"". (page 2, paragraph 6, line 40)"
VoiceOnly_#3,12,"Navigate to page 2, paragraph 7, line 44-45."
VoiceOnly_#3,13,"Delete from \""while\"" to \""in\"". (page 2, paragraph 7, line 44-45)"
VoiceGaze_#3,0,"Navigate to page 1, paragraph 1, line 2"
VoiceGaze_#3,1,"Fix \""riich\"" to \""rich\"". (page 1, paragraph 1, line 2)"
VoiceGaze_#3,2,"Navigate to page 1, paragraph 2, line 7"
VoiceGaze_#3,3,"Fix \""mouch\"" to \""much\"". (page 1, paragraph 2, line 7)"
VoiceGaze_#3,4,"Navigate to page 1, paragraph 3, line 13-14"
VoiceGaze_#3,5,"Copy from \""cavalry\"" to \""volumes\"". (page 1, paragraph 3, line 13-14)"
VoiceGaze_#3,6,"Navigate to page 1, paragraph 4, line 16"
VoiceGaze_#3,7,"Paste after \""between\"". (page 1, paragraph 4, line 16)"
VoiceGaze_#3,8,"Navigate to page 2, paragraph 5, line 23"
VoiceGaze_#3,9,"Replace \""wet\"" to \""dry\"". (page 2, paragraph 5, line 23)"
VoiceGaze_#3,10,"Navigate to page 2, paragraph 7, line 33"
VoiceGaze_#3,11,"Delete from \""make\"" to \""love\"". (page 2, paragraph 7, line 33)"
VoiceGaze_#3,12,"Navigate to page 2, paragraph 8, line 35"
VoiceGaze_#3,13,"Add \""boy\"" after \""my\"". (page 2, paragraph 8, line 35)"
VoiceMouse_#3,0,"Navigate to page 1, paragraph 1, line 2"
VoiceMouse_#3,1,"Copy from \""front\"" to \""office\"". (page 1, paragraph 1, line 2)"
VoiceMouse_#3,2,"Navigate to page 1, paragraph 2, line 8"
VoiceMouse_#3,3,"Paste before \""outside\"". (page 1, paragraph 2, line 8)"
VoiceMouse_#3,4,"Navigate to page 1, paragraph 3, line 11"
VoiceMouse_#3,5,"Fix \""yourselfa\"" to \""yourself\"". (page 1, paragraph 3, line 11)"
VoiceMouse_#3,6,"Navigate to page 1, paragraph 4, line 17"
VoiceMouse_#3,7,"Replace \""somebody\"" to \""someone\"". (page 1, paragraph 4, line 17)"
VoiceMouse_#3,8,"Navigate to page 2, paragraph 5, line 22"
VoiceMouse_#3,9,"Fix \""sheven\"" to \""seven\"". (page 2, paragraph 5, line 22)"
VoiceMouse_#3,10,"Navigate to page 2, paragraph 6, line 25-26"
VoiceMouse_#3,11,"Delete from \""Jimmy\"" to \""office\"". (page 2, paragraph 6, line 25-26)"
VoiceMouse_#3,12,"Navigate to page 2, paragraph 7, line 29"
VoiceMouse_#3,13,"Add \""dollar\"" after \""five\"". (page 2, paragraph 7, line 29)"
MouseAndKeyboard_#3,0,"Navigate to page 1, paragraph 1, line 3"
MouseAndKeyboard_#3,1,"Fix \""namee\"" to \""name\"". (page 1, paragraph 1, line 3)"
MouseAndKeyboard_#3,2,"Navigate to page 1, paragraph 2, line 11"
MouseAndKeyboard_#3,3,"Add \""power\"" after \""to\"". (page 1, paragraph 2, line 11)"
MouseAndKeyboard_#3,4,"Navigate to page 1, paragraph 3, line 14-15"
MouseAndKeyboard_#3,5,"Delete from \""meat\"" to \""unusual\"". (page 1, paragraph 3, line 14-15)"
MouseAndKeyboard_#3,6,"Navigate to page 2, paragraph 4, line 20"
MouseAndKeyboard_#3,7,"Fix \""wtaking\"" to \""taking \"". (page 2, paragraph 4, line 20)"
MouseAndKeyboard_#3,8,"Navigate to page 2, paragraph 5, line 23-24"
MouseAndKeyboard_#3,9,"Copy from \""after\"" to \""mother\"". (page 2, paragraph 5, line 23-24)"
MouseAndKeyboard_#3,10,"Navigate to page 2, paragraph 6, line 26"
MouseAndKeyboard_#3,11,"Paste after \""father\"". (page 2, paragraph 6, line 26)"
MouseAndKeyboard_#3,12,"Navigate to page 2, paragraph 8, line 35"
MouseAndKeyboard_#3,13,"Replace \""old\"" to \""fresh\"". (page 2, paragraph 8, line 35)"
